timestamp,temp_celsius,energy_euro
2025-07-24T18:30,22.0,0.11693
2025-07-24T19:00,21.8,0.11283
2025-07-24T20:15,21.4,0.11320
2025-07-24T21:00,21.0,0.10530
2025-07-24T22:15,20.2,0.09874
2025-07-24T23:00,19.2,0.10217
2025-07-25T01:00,19.0,0.08523
2025-07-25T03:15,18.0,0.09053
2025-07-25T04:30,18.1,0.09160
2025-07-25T05:15,18.5,0.09556
2025-07-25T06:15,18.8,0.10967
2025-07-25T07:15,19.3,0.09566
2025-07-25T08:15,20.4,0.08720
2025-07-25T10:15,21.4,0.08043
2025-07-25T11:00,21.3,0.06940
2025-07-25T12:15,21.5,0.06343
2025-07-25T13:30,23.0,0.07098
2025-07-25T14:00,23.4,0.07370
2025-07-25T15:00,24.2,0.07859
2025-07-25T16:15,23.0,0.08599
2025-07-25T17:15,22.6,0.09611
2025-07-25T18:15,21.8,0.11420
2025-07-25T19:00,21.0,0.11113
2025-07-25T20:00,20.5,0.11332
2025-07-25T21:00,20.4,0.10000
2025-07-25T22:00,20.1,0.10838
2025-07-25T23:00,19.8,0.09837
2025-07-26T01:00,19.3,0.08777
2025-07-26T03:15,18.5,0.08511
2025-07-26T04:30,18.1,0.08826
2025-07-26T05:15,18.1,0.08687
